method,rmse_mean,rmse_std
Convex combination,4.340337191348727,0.6099170025483318
Tracklet fusion,4.133317006503395,0.42721602077102083
Federated KF,4.091037147415472,0.41936306473893215
Distributed KF,4.091037147415472,0.41936306473893187
